"bunker","0.009389365082143757"
"nemeyer","0.009389365082143757"
"Prochnow","0.009389365082143757"
"wait","0.009583770694547888"
"its","0.009583770694547888"
"chance","0.009765625"
"storm","0.019352329337448734"
"until","0.00993645086181707"
"spot","0.019352329337448734"
"story","0.010018130892470637"
"over","0.010531869966364767"
"although","0.00993645086181707"
"time","0.020499716849389005"
"shelter","0.00948824413110854"
"veteran","0.009389365082143757"
"Hitler.The","0.009389365082143757"
"forward","0.00948824413110854"
"relentless","0.009389365082143757"
"sail","0.009389365082143757"
"place","0.01032305120871533"
"submarine","0.00948824413110854"
"supplies","0.00948824413110854"
"October","0.009389365082143757"
"rgen","0.009389365082143757"
"cynical","0.009389365082143757"
"under","0.01953125"
"he","0.07868010256864118"
"Frenssen","0.009389365082143757"
"neutral","0.00948824413110854"
"meet","0.010463968759019695"
"/","0.018778730164287515"
"enthusiastic","0.009389365082143757"
"liner","0.009389365082143757"
"face","0.00993645086181707"
"captain's","0.009389365082143757"
"depart","0.009676164668724367"
"give","0.03139190627705908"
"before","0.02092793751803939"
"clandestinely","0.009389365082143757"
"next","0.020499716849389005"
"use","0.010531869966364767"
"restrain","0.00948824413110854"
"run","0.02064610241743066"
"Lamprecht","0.009389365082143757"
"captain","0.07590595304886832"
"u-96","0.009389365082143757"
"leave","0.01090812988422101"
"‚","0.05048754884221008"
"do","0.010788206945423854"
"tell","0.010531869966364767"
"recoil","0.009389365082143757"
"man","0.021452551157537792"
"2nd","0.009389365082143757"
"rendezvous","0.009389365082143757"
"look","0.00985233226437198"
"member","0.009676164668724367"
"envoy","0.009389365082143757"
"later","0.010598173349027535"
"n","0.009389365082143757"
"u-boat's","0.009389365082143757"
"back","0.03179452004708261"
"damage.The","0.009389365082143757"
"hour","0.009676164668724367"
"Weser","0.009389365082143757"
"boat","0.06641770891775978"
"morning","0.00985233226437198"
"j","0.009389365082143757"
"seem","0.019167541389095776"
"eventually","0.01039439081032688"
"fire","0.020036261784941275"
"new","0.020036261784941275"
"remain","0.00985233226437198"
"what","0.00993645086181707"
"south","0.009389365082143757"
"defend","0.009765625"
"quickly","0.019167541389095776"
"bullet","0.00948824413110854"
"week","0.00948824413110854"
"body","0.010018130892470637"
"Churchill","0.009389365082143757"
"provide","0.009583770694547888"
"ä?n","0.009389365082143757"
"Royal","0.00948824413110854"
"drop","0.009676164668724367"
"award","0.009389365082143757"
"ballast","0.009389365082143757"
"encounter","0.020036261784941275"
"dock","0.009389365082143757"
"Italy","0.018778730164287515"
"close","0.009389365082143757"
"who","0.033720043957989075"
"after","0.07793569927146025"
"aboard","0.00948824413110854"
"band","0.00948824413110854"
"Navy","0.009389365082143757"
"ss","0.009389365082143757"
"Eve","0.009389365082143757"
"light","0.00948824413110854"
"collapse","0.00948824413110854"
"follow","0.01039439081032688"
"drunken","0.00948824413110854"
"however","0.010531869966364767"
"so","0.01032305120871533"
"mouth","0.00948824413110854"
"watch","0.01970466452874396"
"german","0.02846473239332562"
"¬","0.03755746032857503"
"alternative","0.009389365082143757"
"pale","0.00948824413110854"
"learn","0.010249858424694502"
"Officer","0.009389365082143757"
"eager","0.009389365082143757"
"narrowly","0.00948824413110854"
"Äîan","0.009389365082143757"
"difference","0.00948824413110854"
"finish","0.009583770694547888"
"particularly","0.009389365082143757"
"speech","0.00948824413110854"
"Thomsen's","0.009389365082143757"
"weary","0.009583770694547888"
"often","0.009389365082143757"
"crude","0.00948824413110854"
"day","0.010249858424694502"
"make","0.021576413890847707"
"ideological","0.009389365082143757"
"leap","0.009583770694547888"
"attempt","0.010662952380150971"
"raid","0.009676164668724367"
"sub","0.009389365082143757"
"opulent","0.009389365082143757"
"ambulance","0.009389365082143757"
"carefully","0.009389365082143757"
"axis-friendly","0.009389365082143757"
"crush","0.00948824413110854"
"destruction","0.00948824413110854"
"land","0.010018130892470637"
"about","0.02181625976844202"
"interned","0.009389365082143757"
"through","0.010598173349027535"
"afloat","0.009389365082143757"
"safely","0.009583770694547888"
"reach","0.00985233226437198"
"Hinrich","0.009389365082143757"
"area","0.00948824413110854"
"facility","0.009389365082143757"
"swim","0.009389365082143757"
"fuel","0.009583770694547888"
"Otto","0.009389365082143757"
"four","0.009765625"
"multiple","0.009389365082143757"
"locate","0.019167541389095776"
"speed","0.00948824413110854"
"Winston","0.009389365082143757"
"sea","0.00948824413110854"
"engineer","0.018778730164287515"
"Christmas","0.019167541389095776"
"still","0.010018130892470637"
"ä","0.01953125"
"soon","0.010018130892470637"
"exploit","0.009389365082143757"
"metre","0.00948824413110854"
"convoy","0.018778730164287515"
"which","0.03254641905279866"
"charge","0.009765625"
"navigator","0.018778730164287515"
"freeze","0.00948824413110854"
"take","0.03272438965266303"
"off","0.01039439081032688"
"approach","0.010018130892470637"
"badly","0.009583770694547888"
"ô","0.009389365082143757"
"tight","0.009389365082143757"
"1.20917","0.009389365082143757"
"out","0.042905102315075584"
"assign","0.009389365082143757"
"surface","0.019167541389095776"
"harbor","0.009389365082143757"
"tanker","0.009389365082143757"
"imply","0.00948824413110854"
"excite","0.009389365082143757"
"worn-out","0.009389365082143757"
"french","0.009583770694547888"
"towards","0.01897648826221708"
"away.u-boat","0.009389365082143757"
"shortly","0.019352329337448734"
"sailor","0.018778730164287515"
"filthy","0.009389365082143757"
"cover","0.009583770694547888"
"u-boat","0.04694682541071879"
"Watch","0.009389365082143757"
"sustain","0.009389365082143757"
"respond","0.00948824413110854"
"only","0.02092793751803939"
"shelf","0.009389365082143757"
"miraculously","0.009389365082143757"
"torpedo","0.02846473239332562"
